source,title,company,location,stipend,duration,mode,internship_type,branch_required,cgpa_required,gender,eligibility_raw,skills,deadline,applicants,apply_link
Company Careers,Women in Technology (WIT) Internship,NXP Semiconductors,Noida / Bengaluru / Hyderabad,Not disclosed,N/A,On-site,Full Time,"Electronics, Electrical, Computer Science",Not mentioned,Girls Only,Female-specific program. Check NXP careers for active cycle.,N/A,N/A,N/A,https://www.nxp.com/company/about-nxp/careers/students-and-recent-graduates:STUDENTS-GRADUATES
Company Careers,Ascend Internship (Women in STEM),D.E. Shaw,Hyderabad,Not disclosed,N/A,On-site,Full Time,"Computer Science, Mathematics, Statistics",Not mentioned,Girls Only,Female-specific program by D.E. Shaw India,N/A,N/A,N/A,https://www.deshawindia.com/forms/NFS.aspx
Company Careers,Nesternship (Summer Internship Program),Nestlé India,"Multiple Locations, India",Not disclosed,N/A,On-site,Full Time,"MBA, Management, Food Technology, Chemical",Not mentioned,All,Annual summer internship program for MBA/PG students,N/A,N/A,N/A,https://www.nestle.in/jobs/nesternship
Company Careers,Bosch Engineering Internship,Bosch India,Bengaluru / Coimbatore / Chennai,Not disclosed,N/A,On-site,Full Time,"Electronics, Mechanical, Computer Science, Electrical",Not mentioned,All,Check Bosch India Careers for active openings,N/A,N/A,N/A,https://www.bosch.in/careers/your-entry-into-bosch/internships/
Company Careers,Siemens Student Internship Program,Siemens India,Mumbai / Pune / Bengaluru / Gurgaon,Not disclosed,N/A,On-site,Full Time,"Electronics, Electrical, Mechanical, Computer Science",Not mentioned,All,Search intern on Siemens global jobs portal filtered to India,N/A,N/A,N/A,https://jobs.siemens.com/careers?query=intern&domain=siemens.com
Company Careers,L&T Summer Internship Program,Larsen & Toubro (L&T),Pan India,Not disclosed,N/A,On-site,Full Time,"Civil, Mechanical, Electrical, Electronics, Computer Science",Not mentioned,All,Check Campus Recruitment section on L&T website,N/A,N/A,N/A,https://www.larsentoubro.com/corporate/career/campus-recruitment/
Company Careers,ISRO Student Internship / Project Trainee Scheme,ISRO,Bengaluru / Thiruvananthapuram / Ahmedabad (various centres),Not disclosed,N/A,On-site,Full Time,"Electronics, Computer Science, Mechanical, Electrical",6.32,All,Apply directly to individual ISRO centres. Min 60% / 6.32 CGPA required.,N/A,N/A,N/A,https://www.isro.gov.in/Internship.html
Company Careers,DRDO Apprentice / Internship Program,DRDO,Pan India (various DRDO labs),Not disclosed,N/A,On-site,Full Time,"Electronics, Computer Science, Mechanical, Electrical, Chemical",Not mentioned,All,Apply to individual DRDO labs. Requires college NOC.,N/A,N/A,N/A,https://www.drdo.gov.in/internship-scheme
Company Careers,NITI Aayog Young Professional / Internship Programme,NITI Aayog,New Delhi,Not disclosed,N/A,On-site,Full Time,All,Not mentioned,All,2-6 months. Open to UG/PG/PhD students from recognized institutions.,N/A,N/A,N/A,https://www.niti.gov.in/internship
Company Careers,RBI Summer Internship Programme,Reserve Bank of India (RBI),Mumbai / Regional offices,Not disclosed,N/A,On-site,Full Time,"Finance, Economics, Mathematics, Statistics, Management",Not mentioned,All,Paid internship. Open to students of Economics/Finance/Statistics.,N/A,N/A,N/A,https://opportunities.rbi.org.in/Scripts/Internships.aspx
